artist_name,time_range,track_count,total_popularity,avg_rank,collected_date
Ty Myers,short_term,1,82,1.0,2025-07-02 14:59:14
d4vd,short_term,1,58,2.0,2025-07-02 14:59:14
America,short_term,2,141,5.0,2025-07-02 14:59:14
The Lumineers,short_term,3,221,21.666666666666668,2025-07-02 14:59:14
sombr,short_term,1,97,5.0,2025-07-02 14:59:14
Caamp,short_term,1,54,6.0,2025-07-02 14:59:14
Gracie Abrams,short_term,1,96,8.0,2025-07-02 14:59:14
WILLIS,short_term,1,10,9.0,2025-07-02 14:59:14
Mt. Joy,short_term,2,136,22.5,2025-07-02 14:59:14
Bon Iver,short_term,4,255,21.25,2025-07-02 14:59:14
Hozier,short_term,1,61,12.0,2025-07-02 14:59:14
Tanya Tucker,short_term,1,67,13.0,2025-07-02 14:59:14
Philip Bailey,short_term,1,76,15.0,2025-07-02 14:59:14
Fruit Bats,short_term,1,68,16.0,2025-07-02 14:59:14
Zach Bryan,short_term,10,544,31.9,2025-07-02 14:59:14
mike.,short_term,4,179,32.5,2025-07-02 14:59:14
Rod Stewart,short_term,1,55,22.0,2025-07-02 14:59:14
Jason Isbell,short_term,1,44,23.0,2025-07-02 14:59:14
Bad Bunny,short_term,1,87,25.0,2025-07-02 14:59:14
Childish Gambino,short_term,1,72,26.0,2025-07-02 14:59:14
Larry Fleet,short_term,1,71,28.0,2025-07-02 14:59:14
Grupo Frontera,short_term,1,79,29.0,2025-07-02 14:59:14
Morgan Wallen,short_term,2,111,38.5,2025-07-02 14:59:14
Jack Johnson,short_term,1,49,36.0,2025-07-02 14:59:14
Father John Misty,short_term,1,81,39.0,2025-07-02 14:59:14
John Mayer,short_term,2,115,43.0,2025-07-02 14:59:14
Pop Smoke,short_term,1,60,46.0,2025-07-02 14:59:14
Pearl Jam,short_term,1,75,48.0,2025-07-02 14:59:14
Noah Kahan,short_term,1,66,49.0,2025-07-02 14:59:14
PARTYNEXTDOOR,medium_term,1,87,1.0,2025-07-02 14:59:14
Bon Iver,medium_term,3,208,22.0,2025-07-02 14:59:14
The Goo Goo Dolls,medium_term,1,62,3.0,2025-07-02 14:59:14
The Moss,medium_term,3,137,13.333333333333334,2025-07-02 14:59:14
Jason Isbell and the 400 Unit,medium_term,1,43,5.0,2025-07-02 14:59:14
The Tragically Hip,medium_term,1,64,6.0,2025-07-02 14:59:14
mike.,medium_term,5,227,28.0,2025-07-02 14:59:14
Vampire Weekend,medium_term,1,56,8.0,2025-07-02 14:59:14
The Red Clay Strays,medium_term,1,74,10.0,2025-07-02 14:59:14
Sons Of The East,medium_term,1,59,11.0,2025-07-02 14:59:14
Coldplay,medium_term,4,277,21.5,2025-07-02 14:59:14
America,medium_term,2,141,16.0,2025-07-02 14:59:14
The Lumineers,medium_term,3,226,24.333333333333332,2025-07-02 14:59:14
Common Kings,medium_term,1,59,17.0,2025-07-02 14:59:14
Fleet Foxes,medium_term,1,65,18.0,2025-07-02 14:59:14
Gavin Adcock,medium_term,1,61,24.0,2025-07-02 14:59:14
Hozier,medium_term,2,149,25.5,2025-07-02 14:59:14
Chris Stapleton,medium_term,1,75,27.0,2025-07-02 14:59:14
Crowded House,medium_term,1,65,28.0,2025-07-02 14:59:14
Gracie Abrams,medium_term,1,96,29.0,2025-07-02 14:59:14
Jason Isbell,medium_term,1,49,30.0,2025-07-02 14:59:14
Mt. Joy,medium_term,2,136,37.5,2025-07-02 14:59:14
Caamp,medium_term,1,74,32.0,2025-07-02 14:59:14
Lana Del Rey,medium_term,1,84,33.0,2025-07-02 14:59:14
Morgan Wade,medium_term,1,49,34.0,2025-07-02 14:59:14
Hans Williams,medium_term,1,43,35.0,2025-07-02 14:59:14
David Gray,medium_term,1,75,36.0,2025-07-02 14:59:14
Dominic Fike,medium_term,1,55,40.0,2025-07-02 14:59:14
TheFleok,medium_term,1,16,45.0,2025-07-02 14:59:14
Cardinal Bloom,medium_term,1,43,46.0,2025-07-02 14:59:14
The Cranberries,medium_term,1,87,47.0,2025-07-02 14:59:14
Neil Young,medium_term,1,78,48.0,2025-07-02 14:59:14
Billie Eilish,medium_term,1,100,49.0,2025-07-02 14:59:14
Band of Horses,medium_term,1,48,50.0,2025-07-02 14:59:14
Bon Iver,long_term,11,604,22.727272727272727,2025-07-02 14:59:14
Zach Bryan,long_term,11,794,20.818181818181817,2025-07-02 14:59:14
Mt. Joy,long_term,1,54,5.0,2025-07-02 14:59:14
TheFleok,long_term,1,16,6.0,2025-07-02 14:59:14
Luke Grimes,long_term,1,55,10.0,2025-07-02 14:59:14
The Ghost of Paul Revere,long_term,1,45,11.0,2025-07-02 14:59:14
Jason Isbell and the 400 Unit,long_term,3,155,30.666666666666668,2025-07-02 14:59:14
mike.,long_term,6,260,30.833333333333332,2025-07-02 14:59:14
Noah Kahan,long_term,4,296,37.0,2025-07-02 14:59:14
Tyler Childers,long_term,2,127,26.0,2025-07-02 14:59:14
Post Malone,long_term,1,52,23.0,2025-07-02 14:59:14
Family of the Year,long_term,1,66,24.0,2025-07-02 14:59:14
Hans Williams,long_term,1,43,25.0,2025-07-02 14:59:14
The Cranberries,long_term,1,87,26.0,2025-07-02 14:59:14
The Moss,long_term,1,48,27.0,2025-07-02 14:59:14
Morgan Wade,long_term,1,34,31.0,2025-07-02 14:59:14
Manchester Orchestra,long_term,1,53,39.0,2025-07-02 14:59:14
Caamp,long_term,1,35,42.0,2025-07-02 14:59:14
Hozier,long_term,1,71,50.0,2025-07-02 14:59:14
